,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
4320,0.686,0.859,7,-7.2,1,0.0377,0.00278,0.000113,0.0829,0.207,107.997,audio_features,2CW7GLqXmOcytqhRmO9NfY,spotify:track:2CW7GLqXmOcytqhRmO9NfY,https://api.spotify.com/v1/tracks/2CW7GLqXmOcytqhRmO9NfY,https://api.spotify.com/v1/audio-analysis/2CW7GLqXmOcytqhRmO9NfY,187688,4
4321,0.606,0.369,7,-9.146,1,0.0288,0.374,0.0,0.102,0.297,108.583,audio_features,5IoEjLwS9mbSmdJmURvkAw,spotify:track:5IoEjLwS9mbSmdJmURvkAw,https://api.spotify.com/v1/tracks/5IoEjLwS9mbSmdJmURvkAw,https://api.spotify.com/v1/audio-analysis/5IoEjLwS9mbSmdJmURvkAw,208817,4
4322,0.583,0.765,11,-5.57,1,0.084,0.00283,0.0463,0.351,0.352,122.021,audio_features,4BRIV2luZ273YEot8khID9,spotify:track:4BRIV2luZ273YEot8khID9,https://api.spotify.com/v1/tracks/4BRIV2luZ273YEot8khID9,https://api.spotify.com/v1/audio-analysis/4BRIV2luZ273YEot8khID9,218537,4
4323,0.558,0.529,9,-11.284,0,0.0821,0.3,7.96e-05,0.116,0.0473,145.898,audio_features,4Jvf5GGyNBxDGbuijrdLKG,spotify:track:4Jvf5GGyNBxDGbuijrdLKG,https://api.spotify.com/v1/tracks/4Jvf5GGyNBxDGbuijrdLKG,https://api.spotify.com/v1/audio-analysis/4Jvf5GGyNBxDGbuijrdLKG,211781,4
4324,0.578,0.7,6,-7.06,0,0.0585,0.0284,0.0,0.439,0.651,134.974,audio_features,2uqDwC5ew5BefRZByabygA,spotify:track:2uqDwC5ew5BefRZByabygA,https://api.spotify.com/v1/tracks/2uqDwC5ew5BefRZByabygA,https://api.spotify.com/v1/audio-analysis/2uqDwC5ew5BefRZByabygA,201500,4
4325,0.543,0.386,5,-13.746,1,0.248,0.735,9.79e-06,0.0842,0.186,71.749,audio_features,43ERFuHspVNzXczgegJZcv,spotify:track:43ERFuHspVNzXczgegJZcv,https://api.spotify.com/v1/tracks/43ERFuHspVNzXczgegJZcv,https://api.spotify.com/v1/audio-analysis/43ERFuHspVNzXczgegJZcv,244960,3
4326,0.497,0.772,6,-5.821,0,0.0781,0.00153,1.87e-06,0.203,0.609,88.188,audio_features,4VRPmNDTHRKjc1i4MyY4uk,spotify:track:4VRPmNDTHRKjc1i4MyY4uk,https://api.spotify.com/v1/tracks/4VRPmNDTHRKjc1i4MyY4uk,https://api.spotify.com/v1/audio-analysis/4VRPmNDTHRKjc1i4MyY4uk,216733,4
4327,0.67,0.741,4,-5.98,1,0.0503,0.0833,3.71e-05,0.0926,0.579,80.037,audio_features,7K95NCjCNx1TwlpnbjQn6S,spotify:track:7K95NCjCNx1TwlpnbjQn6S,https://api.spotify.com/v1/tracks/7K95NCjCNx1TwlpnbjQn6S,https://api.spotify.com/v1/audio-analysis/7K95NCjCNx1TwlpnbjQn6S,229960,4
4328,0.567,0.196,6,-12.008,1,0.162,0.831,3.63e-05,0.112,0.455,121.316,audio_features,6yWSRaWNS7EbjHaEouMdta,spotify:track:6yWSRaWNS7EbjHaEouMdta,https://api.spotify.com/v1/tracks/6yWSRaWNS7EbjHaEouMdta,https://api.spotify.com/v1/audio-analysis/6yWSRaWNS7EbjHaEouMdta,174167,4
4329,0.865,0.407,7,-9.362,1,0.148,0.33,0.000113,0.117,0.561,99.981,audio_features,0WA204fcIy5tUk7xcrU3Sg,spotify:track:0WA204fcIy5tUk7xcrU3Sg,https://api.spotify.com/v1/tracks/0WA204fcIy5tUk7xcrU3Sg,https://api.spotify.com/v1/audio-analysis/0WA204fcIy5tUk7xcrU3Sg,235450,4
